ano_mes,qtd_pedidos,receita_total
2016-10,262,45625.48
2016-12,1,19.62
2017-01,744,126946.08
2017-02,1647,269515.79
2017-03,2526,410438.32
2017-04,2295,389765.06
2017-05,3538,564281.51
2017-06,3125,489005.82
2017-07,3864,565306.52
2017-08,4191,645710.77
2017-09,4143,698416.37
2017-10,4471,750202.76
2017-11,7261,1146502.14
2017-12,5489,836320.6
2018-01,7037,1070557.08
2018-02,6503,958980.57
2018-03,6971,1113213.84
2018-04,6780,1128785.87
2018-05,6742,1127948.56
2018-06,6090,1009811.99
2018-07,6150,1026250.78
2018-08,6351,985414.28
