ano_mes,categoria,qtd_pedidos,receita_total
2016-09,beleza_saude,1,134.97
2016-10,automotivo,7,628.27
2016-10,bebes,9,1371.17
2016-10,beleza_saude,36,3439.25
2016-10,brinquedos,22,4106.5
2016-10,cama_mesa_banho,5,478.99
2016-10,cool_stuff,7,1046.1
2016-10,esporte_lazer,17,2012.15
2016-10,ferramentas_jardim,5,1359.88
2016-10,informatica_acessorios,11,598.02
2016-10,moveis_decoracao,49,5690.52
2016-10,moveis_escritorio,5,1123.91
2016-10,perfumaria,26,4829.099999999999
2016-10,relogios_presentes,4,2711.0699999999997
2016-10,telefonia,7,228.29
2016-10,utilidades_domesticas,9,1287.0700000000002
2017-01,automotivo,27,4820.03
2017-01,bebes,31,6217.88
2017-01,beleza_saude,79,12366.44
2017-01,brinquedos,41,4568.1900000000005
2017-01,cama_mesa_banho,43,3804.36
2017-01,cool_stuff,30,6856.87
2017-01,esporte_lazer,56,9142.24
2017-01,ferramentas_jardim,36,7466.95
2017-01,informatica_acessorios,24,3924.1400000000003
2017-01,moveis_decoracao,130,12788.83
2017-01,moveis_escritorio,6,1158.35
2017-01,perfumaria,29,5112.599999999999
2017-01,relogios_presentes,11,8086.52
2017-01,telefonia,17,755.94
2017-01,utilidades_domesticas,20,2763.68
2017-02,automotivo,74,12128.880000000001
2017-02,bebes,31,2837.58
2017-02,beleza_saude,143,22059.92
2017-02,brinquedos,61,9353.44
2017-02,cama_mesa_banho,139,15327.23
2017-02,cool_stuff,68,12454.6
2017-02,esporte_lazer,134,15629.98
2017-02,ferramentas_jardim,59,11637.63
2017-02,informatica_acessorios,92,11319.09
2017-02,moveis_decoracao,213,19926.41
2017-02,moveis_escritorio,52,10845.98
2017-02,perfumaria,47,8040.38
2017-02,relogios_presentes,32,10992.39
2017-02,telefonia,94,5744.34
2017-02,utilidades_domesticas,60,11260.44
2017-03,automotivo,66,13240.03
2017-03,bebes,41,3592.28
2017-03,beleza_saude,190,25652.45
2017-03,brinquedos,98,12234.58
2017-03,cama_mesa_banho,239,25120.02
2017-03,cool_stuff,116,20583.33
2017-03,esporte_lazer,163,25236.89
2017-03,ferramentas_jardim,117,23508.760000000002
2017-03,informatica_acessorios,147,28078.8
2017-03,moveis_decoracao,251,21897.77
2017-03,moveis_escritorio,55,10307.3
2017-03,perfumaria,103,19608.14
2017-03,relogios_presentes,73,24661.11
2017-03,telefonia,153,7877.12
2017-03,utilidades_domesticas,168,12722.07
2017-04,automotivo,77,15149.32
2017-04,bebes,47,3930.55
2017-04,beleza_saude,167,22081.44
2017-04,brinquedos,102,12759.43
2017-04,cama_mesa_banho,230,24033.39
2017-04,cool_stuff,111,20837.49
2017-04,esporte_lazer,184,22997.06
2017-04,ferramentas_jardim,92,17589.03
2017-04,informatica_acessorios,115,18142.56
2017-04,moveis_decoracao,162,19211.23
2017-04,moveis_escritorio,48,9411.3
2017-04,perfumaria,97,19436.51
2017-04,relogios_presentes,88,23336.09
2017-04,telefonia,137,7059.95
2017-04,utilidades_domesticas,134,12472.18
2017-05,automotivo,99,17501.25
2017-05,bebes,96,8933.720000000001
2017-05,beleza_saude,261,46340.06
2017-05,brinquedos,192,22179.25
2017-05,cama_mesa_banho,323,32684.600000000002
2017-05,cool_stuff,230,32481.6
2017-05,esporte_lazer,254,33418.73
2017-05,ferramentas_jardim,120,20282.67
2017-05,informatica_acessorios,251,44369.77
2017-05,moveis_decoracao,225,21412.74
2017-05,moveis_escritorio,42,8403.43
2017-05,perfumaria,132,19982.06
2017-05,relogios_presentes,120,36619.48
2017-05,telefonia,196,8844.39
2017-05,utilidades_domesticas,259,21374.9
2017-06,automotivo,101,29335.71
2017-06,bebes,71,7754.74
2017-06,beleza_saude,231,31582.91
2017-06,brinquedos,150,15337.550000000001
2017-06,cama_mesa_banho,323,33757.28
2017-06,cool_stuff,194,37889.62
2017-06,esporte_lazer,244,32010.32
2017-06,ferramentas_jardim,98,15447.09
2017-06,informatica_acessorios,212,36193.7
2017-06,moveis_decoracao,176,16575.79
2017-06,moveis_escritorio,45,7279.13
2017-06,perfumaria,138,23527.32
2017-06,relogios_presentes,113,27337.63
2017-06,telefonia,148,6561.73
2017-06,utilidades_domesticas,279,22938.23
2017-07,automotivo,102,13844.85
2017-07,bebes,121,15461.41
2017-07,beleza_saude,270,34239.45
2017-07,brinquedos,197,23956.84
2017-07,cama_mesa_banho,501,62367.07
2017-07,cool_stuff,219,36523.47
2017-07,esporte_lazer,327,36618.83
2017-07,ferramentas_jardim,153,18951.3
2017-07,informatica_acessorios,266,38067.33
2017-07,moveis_decoracao,249,24028.12
2017-07,moveis_escritorio,97,16892.61
2017-07,perfumaria,114,12559.33
2017-07,relogios_presentes,151,33702.42
2017-07,telefonia,134,9002.88
2017-07,utilidades_domesticas,220,20251.53
2017-08,automotivo,128,18922.61
2017-08,bebes,120,19160.1
2017-08,beleza_saude,337,48865.33
2017-08,brinquedos,167,17579.47
2017-08,cama_mesa_banho,442,56580.63
2017-08,cool_stuff,235,38264.51
2017-08,esporte_lazer,375,40624.770000000004
2017-08,ferramentas_jardim,194,22920.93
2017-08,informatica_acessorios,290,33826.47
2017-08,moveis_decoracao,323,33595.89
2017-08,moveis_escritorio,46,9877.36
2017-08,perfumaria,117,13085.1
2017-08,relogios_presentes,194,36170.95
2017-08,telefonia,127,10553.31
2017-08,utilidades_domesticas,245,23427.84
2017-09,automotivo,95,13151.77
2017-09,bebes,161,23232.45
